Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.12	ACF17980.1	Escherichia coli	aadA16	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	98	1e-156
pVA681-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.37	Q46696	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	98	3e-48
pVA681-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.18			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.10	WP_001749986.1	Gammaproteobacteria		rifampin ADP-ribosyl transferase	MULTISPECIES: NAD(+)--rifampin ADP-ribosyltransferase Arr-3			100	100	100	3e-86
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.20	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.9	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	100	100	1e-112
pVA681-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.42	Q46701	"Escherichia coli, and Salmonella typhimurium"		hypothetical protein	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	92	1e-182
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.10	ACD56151.1	Escherichia coli	arr-3	rifampin ADP-ribosyl transferase		"antibiotic inactivation enzyme,rifampin resistance gene"		100	100	100	3e-86
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.18	ABP87778.1	Pantoea agglomerans	QnrB6	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	100	1e-131
pVA681-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.11			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA681-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.45	Q46704	Escherichia coli	traO	hypothetical protein	Lauryl Dimethylamine-N-Oxide	Drug target		100	100	98	1e-165
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.18	WP_001749994.1	Enterobacterales		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB6			100	94	100	1e-124
pVA681-58	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.47	Q46706	"Escherichia coli, and Salmonella typhimurium"		ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	99	1e-189
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.21	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.11	WP_001749985.1	Gammaproteobacteria		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA27			99	88	100	2e-86
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.14	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			88	100	100	1e-137
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.51	AAK70220.1	Klebsiella pneumoniae	KPC-2	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA681-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.21	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA681-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.14	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		88	100	100	1e-137
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.51	WP_004199234.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	MULTISPECIES: carbapenem-hydrolyzing class A beta-lactamase KPC-2			100	100	100	1e-167
pVA681-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.46	Q46705	Escherichia coli	traF	"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	Lauryl Dimethylamine-N-Oxide	Drug target		100	100	97	1e-214
pVA681-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.52	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			66	87	99	1e-104
pVA681-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.51			KPC family	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	antibiotic inactivation enzyme	27834322				
pVA681-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.43	Q46702	Escherichia coli	traN	hypothetical protein	Lauryl Dimethylamine-N-Oxide	Drug target		100	92	97	1e-20
pVA681-58	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-58	fig|573.39903.peg.52			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.122	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.142	P02920	Escherichia coli		Lactose permease	the major facilitator superfamily (mfs).	2.A.1.5.1	10485888;12893935;15919996;1644770;16453726;16738553;1848449;2164211;2203471;6444453;7578103;9278503	79	100	99	1e-188
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.112	CAA38525.1	Escherichia coli	AAC(3)-IIc	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	95	1e-159
pVA681-191	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.164	EC042_pAA071	Escherichia coli 042	traT	IncF plasmid conjugative transfer surface exclusion protein TraT		Serum resistance	1730875	94	100	85	1e-113
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.109			OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	antibiotic inactivation enzyme					
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.63	P08692	Escherichia coli	arsC	"Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family"	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	95	6e-72
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.122	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.142	P02920	Escherichia coli (strain K12)	lacY	Lactose permease	Thiodigalactoside	Drug target		79	100	99	1e-188
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.109	P13661	Escherichia coli	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Lysine Nz-Carboxylic Acid	Drug target		100	94	100	1e-158
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.108	WP_063839878.1	Serratia marcescens		Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	MULTISPECIES: class A beta-lactamase TEM-156			42	97	98	1e-107
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.138	AAS13767.1	Aeromonas hydrophila	Mrx	hypothetical protein		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-228
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.139	WP_000219391.1	Gammaproteobacteria		Macrolide 2'-phosphotransferase => Mph(A) family	MULTISPECIES: Mph(A) family macrolide 2'-phosphotransferase			100	100	100	1e-172
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.122	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.118			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.118	Q9EXV5	Escherichia coli	blaUOE-1	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Avibactam	Drug target		100	100	100	1e-161
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.109	AIA58911.1	Pseudomonas aeruginosa	OXA-1	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA681-191	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.164	116006905	Escherichia coli strain DIJ1	traT	IncF plasmid conjugative transfer surface exclusion protein TraT			3323837	100	100	85	1e-114
pVA681-191	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.106	P00551	Escherichia coli	aphA1	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	Kanamycin	Drug enzyme		100	100	99	1e-162
pVA681-191	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.244	228931267	Salmonella enterica subsp. enterica serovar Typhimurium	sopA	Chromosome (plasmid) partitioning protein ParA			12065528	100	100	97	1e-225
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.109	WP_001334766.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-1			100	94	100	1e-158
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.112	WP_000557452.1	Bacteria		"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-IIa			100	100	100	1e-167
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.108	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	100	100	1e-112
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.44	Q47453	Escherichia coli		Copper resistance protein B	the copper resistance putative porin (copb) family.	1.B.76.1.5		100	100	100	1e-174
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.139			Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	Macrolide 2'-phosphotransferase => Mph(A) family	antibiotic inactivation enzyme	10960087				
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.118	AAL02127.1	Escherichia coli	CTX-M-15	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-161
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.35	Q9ZHC9	Salmonella typhimurium		"Copper/silver efflux RND transporter, transmembrane protein CusA"	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.1.3	9930866	100	100	98	0.0
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.124	AAF27727.1	Klebsiella pneumoniae	aadA2	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	100	1e-145
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.126	AHW42429.1	Klebsiella pneumoniae subsp. pneumoniae	dfrA12	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		100	100	100	1e-90
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.46	Q47455	Escherichia coli		Copper resistance protein CopD	the copper resistance (copd) family.	9.B.62.1.1	8594334	100	100	99	1e-171
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.37	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.106			APH(3')-I	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	antibiotic inactivation enzyme	6270337;2832861;2160941				
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.126			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.64	P0AB93	Escherichia coli		Arsenite/antimonite:H+ antiporter ArsB	the arsenite-antimonite (arsab) efflux family.	3.A.4.1.1	1535622;15919996;16738553;1704144;3021763;7721697;8041620;9278503	100	100	93	1e-230
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.123			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA681-191	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.112			"AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	antibiotic inactivation enzyme	1960117;1354954;18467306;1649572;20387903;6318050;19709289;2060791;8257126;19949054;2060791;10639379				
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.106	WP_000018329.1	Bacteria		Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3')-Ia			100	100	100	1e-162
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.39	B7L5V2	Escherichia coli (strain 55989 / EAEC)		"Cell wall endopeptidase, family M23/M37"	the bacillus gap junction-like channel-forming complex (gj-cc) family.	1.A.34.1.3		100	100	99	1e-137
pVA681-191	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.32	Q9ZHD2	Salmonella typhimurium		"Copper/silver efflux RND transporter, outer membrane protein CusC"	the outer membrane factor (omf) family.	1.B.17.3.4	9930866	100	89	99	1e-259
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.106	CAE51638.1	Serratia marcescens	APH(3')-Ia	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	98	1e-160
pVA681-191	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.139	CAG27791.1	uncultured bacterium	mphA	Macrolide 2'-phosphotransferase => Mph(A) family		"antibiotic inactivation enzyme,macrolide resistance gene"		100	100	100	1e-172
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.124	WP_000151233.1	Bacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2			100	100	100	1e-145
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.126	WP_001083725.1	Gammaproteobacteria		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA12			100	100	100	1e-90
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.118	WP_000239590.1	Bacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-15			100	100	100	1e-161
pVA681-191	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA681-191	fig|573.39901.peg.123	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA684-388	BLAT	Virulence Factor	VFDB	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.7	VFG000417	Yersinia pestis CO92	pla	Protease VII (Omptin) precursor (EC 3.4.23.49) @ Outer membrane protease PgtE		"Adherence,Plasminogen activator,Tissue invasion"		95	96	83	1e-153
pVA684-388	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.7	A9QY47	Yersinia pestis bv. Antiqua (strain Angola)		Protease VII (Omptin) precursor (EC 3.4.23.49) @ Outer membrane protease PgtE	"the outer membrane beta-barrel endoprotease, omptin (omptin) family."	9.B.50.1.4		95	96	83	1e-154
pVA684-388	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.7	162417870	Yersinia pestis Angola 	pla	Protease VII (Omptin) precursor (EC 3.4.23.49) @ Outer membrane protease PgtE			1439793	95	96	83	1e-154
pVA684-388	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.250			Tet(D)	"Tetracycline resistance, MFS efflux pump => Tet(D)"	"Tetracycline resistance, MFS efflux pump => Tet(D)"	efflux pump conferring antibiotic resistance					
pVA684-388	BLAT	Drug Target	TTD	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.7	TTDR00487			Protease VII (Omptin) precursor (EC 3.4.23.49) @ Outer membrane protease PgtE				95	96	83	1e-153
pVA684-388	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.263	AHV80711.1	Salmonella enterica subsp. enterica serovar Typhimurium	dfrA8	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		100	100	100	5e-93
pVA684-388	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.258	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA684-388	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.24	P03960	Escherichia coli (strain K12)	kdpB	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	Phosphoaminophosphonic Acid-Adenylate Ester	Drug target		82	82	85	1e-280
pVA684-388	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.258	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA684-388	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.145	Q7B1W8	Escherichia coli		Integral membrane protein TerC	the tellurium ion resistance (terc) family.	2.A.109.1.1		100	100	90	1e-181
pVA684-388	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.162			H-NS	DNA-binding protein H-NS	DNA-binding protein H-NS	regulator modulating expression of antibiotic resistance genes	14973023				
pVA684-388	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.243	82524546	Shigella dysenteriae Sd197 	ipaH	Transposase InsO for insertion sequence element IS911			17214743	26	99	89	2e-66
pVA684-388	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.368	P45510	Citrobacter freundii	dhaK	"Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)"	Dihydroxyacetone;Phosphoaminophosphonic Acid-Adenylate Ester	Drug target		100	100	94	1e-295
pVA684-388	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.263			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA684-388	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.263	WP_000571065.1	Enterobacterales		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA8			100	100	100	5e-93
pVA684-388	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.24	P03960	Escherichia coli		Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	the p-type atpase (p-atpase) superfamily.	3.A.3.7.1	1288322;1532388;15919996;16738553;6146979;8905232;9278503	82	82	85	1e-280
pVA684-388	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV5P1	fig|573.34561.peg.250	WP_001039466.1	Gammaproteobacteria		"Tetracycline resistance, MFS efflux pump => Tet(D)"	MULTISPECIES: tetracycline efflux MFS transporter Tet(D)			100	100	100	1e-220
pVA684-146	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P2	fig|573.34560.peg.19	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA684-146	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P2	fig|573.34560.peg.63	P15028	Escherichia coli		"Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)"	the atp-binding cassette (abc) superfamily.	3.A.1.14.1	15919996;16738553;2651410;7610040;9278503	100	100	95	1e-161
pVA684-146	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV5P2	fig|573.34560.peg.76	P02920	Escherichia coli		Lactose permease	the major facilitator superfamily (mfs).	2.A.1.5.1	10485888;12893935;15919996;1644770;16453726;16738553;1848449;2164211;2203471;6444453;7578103;9278503	100	100	99	1e-242
